ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	1139	149	0.999202115572178	0.999202115572178
3	34,30,9,1	4,0,6,2	0,0,18,0	0,0,2,0	642	149	0.0866913625454941	0.490375384095724
4	18,16,28,3	3,5,6,1	0,0,8,0	0,0,3,0	236	149	0.406481572454275	0.751749275344762
5	392,330,288,39	56,64,57,11	0,0,362,0	0,0,54,1	547	149	0.15647975328619	0.556725932911477
6	86,103,94,11	3,13,12,0	0,2,111,0	0,0,10,0	417	149	0.310522811193724	0.711721923222128
7	86,101,93,11	9,23,21,1	0,2,113,0	0,0,17,0	410	149	0.155544983826837	0.556725932911477
8	85,100,75,93	1,0,0,0	83,69,77,107	0,0,0,0	1065	149	0.313795634374784	0.712016026134033
9	42,32,33,23	0,0,0,0	34,22,18,38	2,0,1,0	468	149	0.00941449415411522	0.253076605902693
10	27,19,13,12	38,47,42,28	16,17,8,26	41,37,38,28	450	149	0.933258884238195	0.999202115572178
22	25,54,33,41	8,11,16,13	38,50,33,59	14,18,11,16	981	149	0.85783865260944	0.999202115572178
23	1660,1820,1635,1415	22,31,36,31	1727,1423,1764,1655	48,31,32,22	1619	149	0.630231511648026	0.902658746837203
24	187,181,179,186	3,7,2,10	161,153,150,148	3,0,3,2	332	149	0.0657263959372247	0.455071892706308
25	60,56,42,56	2,1,1,4	42,40,42,31	0,3,3,1	296	149	0.653476576302951	0.919464529471488
26	39,35,26,50	2,1,3,2	54,27,39,33	0,1,0,1	603	149	0.0318958805896573	0.364524349596084
29	14,4,12,8	0,0,0,4	11,8,5,11	2,0,0,1	541	149	0.722691315443226	0.957102206688382
30	12,3,11,6	0,2,1,5	10,8,5,7	1,1,2,4	480	149	0.999202115572178	0.999202115572178
31	239,310,354,324	2,4,5,2	358,277,317,317	3,1,0,4	215	149	0.168947260111925	0.57830357984522
34	564,730,486,471	1,1,0,0	553,447,560,536	1,0,0,3	727	149	0.683080587477254	0.935269264027536
35	474,633,398,413	1,0,0,0	487,381,469,476	0,0,0,0	675	149	0.318122720752233	0.713832975279181
36	57,71,37,50	0,2,1,1	58,43,47,49	1,1,2,3	238	149	0.307033342911372	0.710894708769862
37	60,76,40,55	107,100,102,128	61,44,53,49	104,92,123,93	256	149	0.802277999162747	0.987025577759927
38	33,28,29,22	27,39,50,39	20,24,43,25	36,34,38,25	445	149	0.45783402316335	0.78537076867566
39	213,217,163,157	44,46,50,47	155,205,183,215	47,47,37,69	957	149	0.705018808263456	0.94929693297983
40	2,3,5,1	9,3,0,5	0,1,0,6	2,4,0,0	242	149	0.840204767260678	0.999202115572178
42	1169,1048,1007,1121	7,3,4,12	924,746,743,897	0,3,4,4	2200	149	0.120840714293849	0.520421804002304
43	97,107,75,22687	0,0,0,63	32935,31161,96,34463	97,104,1,127	5817	149	0.386043944032913	0.741488690827132
48	866,897,767,793	12,7,3,8	960,790,915,966	14,7,7,6	1268	149	0.882748448607339	0.999202115572178
49	2,3,2,5	0,0,0,2	6,2,1,1	0,0,0,0	734	149	0.238005128439659	0.662884954829996
51	0,1,3,10	0,1,0,0	2,3,4,3	0,0,2,0	721	149	0.601268188364315	0.877763778634036
52	131,149,98,92	85,83,95,80	136,124,104,102	104,91,72,80	360	149	0.946537845863937	0.999202115572178
53	188,209,179,160	69,93,119,79	195,142,156,201	98,77,92,77	438	149	0.807890326745311	0.987365931971537
54	1506,1518,1755,1751	127,100,161,121	1505,1384,1339,1387	107,102,94,124	689	149	0.794517900544694	0.983053522547567
55	1515,1525,1767,1753	7,13,13,18	1507,1387,1347,1389	12,10,9,8	698	149	0.598521939179783	0.877583571929854
56	484,558,441,454	1273,1170,1344,1331	598,493,524,553	1370,1205,1385,1387	367	149	0.344337743555309	0.723163578744042
57	10,4,7,1	1,1,0,4	3,1,0,1	0,1,2,0	244	149	0.908705277789291	0.999202115572178
58	2,10,0,2	1,0,1,0	1,13,2,11	0,0,0,0	962	149	0.140220460713385	0.538569670778432
60	119,135,176,159	10,8,12,6	174,153,159,171	6,10,12,13	267	149	0.88504986774557	0.999202115572178
62	137,138,116,130	1,2,0,2	141,155,149,142	2,0,3,1	500	149	0.726497344296381	0.958650430403438
63	455,341,349,380	0,0,0,0	537,448,680,504	1,1,0,0	1429	149	0.00564905075781075	0.230113684940795
64	134,178,111,137	86,100,91,109	138,143,190,151	100,104,124,112	243	149	0.814819306118272	0.990863955887142
67	1,5,1,1	1,0,0,0	0,0,0,0	0,2,0,0	248	149	0.054320497883128	0.448213649642782
69	40,19,7,26	626,538,615,577	10,19,19,28	604,557,546,717	374	149	0.676668366624114	0.931042470047922
72	176,122,132,139	1,2,1,0	130,119,102,159	0,0,2,1	348	149	0.784725746899528	0.978090578540147
73	191,210,121,190	8,2,7,10	193,191,192,174	3,8,3,1	865	149	0.0825786217926434	0.484738241130821
74	159,172,107,168	37,40,35,34	154,174,163,154	36,33,30,51	816	149	0.741109843120877	0.960035130953629
75	51,93,32,61	21,27,15,23	52,33,26,47	19,12,21,26	1403	149	0.151833263474374	0.552998031647765
77	1081,945,1025,1170	129,142,137,130	1254,1119,1188,1291	92,91,103,124	2635	149	0.000685331300584235	0.119932977602241
80	105,99,122,123	4,5,5,5	109,133,145,116	2,4,5,4	239	149	0.197391785856791	0.612966882181215
81	291,345,330,324	50,53,45,41	394,309,315,300	51,49,45,46	235	149	0.931470374477933	0.999202115572178
82	390,463,472,470	115,163,150,185	556,459,446,423	167,124,179,175	288	149	0.984787688219101	0.999202115572178
83	270,307,323,315	6,8,2,15	252,291,317,299	2,7,7,4	1076	149	0.428690180217193	0.767476025964284
84	281,312,334,323	15,19,10,22	261,293,321,307	13,7,13,9	1113	149	0.0546394960034308	0.448213649642782
85	486,494,324,327	62,89,81,77	501,406,367,487	65,109,78,99	909	149	0.758066812884831	0.969660610359765
86	1202,1328,868,831	184,176,196,199	1298,1044,1165,1321	212,209,170,173	2356	149	0.247832187816367	0.672412912680065
87	769,893,580,537	69,77,73,97	829,681,832,882	68,83,65,103	1518	149	0.353141001961665	0.723442051616452
89	0,6,3,4	0,0,2,0	0,3,3,0	0,0,0,0	1355	149	0.244210126027294	0.669164225727922
90	1,2,0,0	0,3,1,2	1,1,0,0	0,0,0,1	299	149	0.338913345895617	0.723163578744042
91	56,47,36,44	0,1,0,0	37,46,44,47	0,0,0,0	613	149	0.313547753808063	0.712016026134033
96	161,210,82,98	7,21,25,21	156,96,165,116	26,12,18,35	703	149	0.591177713201631	0.873969164184038
