ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
119	1,3,0,0	0,0,0,1	1,5,1,1	0,0,0,0	78	39
120	105,111,98,92	75,81,81,76	57,83,100,98	50,75,57,78	45	39
122	0,0,0,1	0,0,0,1	0,0,0,1	0,0,0,1	58	39
124	11,6,6,7	1,0,0,0	7,6,13,9	0,0,0,0	48	39
125	173,107,136,123	13,13,7,18	126,105,102,109	8,10,9,12	48	39
126	407,408,383,420	2,0,1,2	323,341,285,351	2,7,10,0	45	39
127	45,40,52,58	2,0,1,2	60,40,42,47	2,7,10,0	78	39
128	41,34,46,48	401,400,375,409	56,30,42,37	317,331,283,340	78	39
130	7,12,0,4	4,2,0,1	8,6,6,5	0,0,0,2	42	39
131	96,156,154,114	4,11,15,5	115,110,115,118	14,8,13,12	42	39
132	0,0,0,0	145,140,137,159	0,0,0,1	147,115,121,130	71	39
133	134,133,123,147	0,0,0,1	130,112,119,138	1,1,0,0	60	39
134	4,2,5,3	5,3,1,0	8,4,3,2	0,1,0,3	78	39
135	0,0,2,4	48,42,42,47	1,2,0,7	48,44,49,51	78	39
136	34,31,41,26	7,1,14,5	29,37,29,34	17,6,10,11	42	39
137	4,7,18,7	32,20,21,33	22,3,17,13	26,34,26,36	78	39
138	0,5,6,1	31,45,30,33	4,5,6,0	43,50,44,35	78	39
139	0,1,5,5	0,0,0,0	0,0,1,5	0,1,0,1	75	39
140	64,66,73,68	1,0,0,0	113,84,120,102	0,0,0,0	78	39
141	19,11,32,19	5,4,9,4	26,14,33,14	11,7,10,8	42	39
142	39,25,31,27	128,136,107,87	33,43,28,44	82,102,127,114	42	39
143	125,143,128,132	95,87,85,98	158,123,124,161	141,92,94,96	78	39
144	0,1,1,0	4,0,0,4	0,2,0,0	4,4,4,4	78	39
146	0,1,1,1	2,4,5,8	0,0,0,1	4,4,8,4	57	39
147	10,8,7,6	1,0,0,0	7,7,8,12	0,0,0,0	72	39
148	1,0,0,0	0,0,1,0	1,0,0,0	2,0,0,1	51	39
151	112,146,127,103	51,45,49,46	122,131,131,131	24,47,58,28	42	39
152	1,0,0,1	125,112,130,103	2,1,4,3	105,88,120,118	53	39
154	225,275,200,237	9,2,10,7	232,221,264,241	7,6,8,11	78	39
155	218,264,226,238	7,7,10,5	247,226,285,220	6,7,4,4	78	39
157	2,0,2,1	0,0,1,0	0,0,2,0	0,0,2,0	78	39
162	152,141,155,154	6,2,4,7	168,164,153,147	10,0,2,1	43	39
163	389,364,406,403	1,1,2,2	458,369,374,409	5,4,7,0	78	39
164	243,225,255,256	1,1,2,2	300,205,223,263	5,4,7,0	78	39
165	170,139,147,146	3,3,4,6	175,157,158,171	2,8,3,2	43	39
166	407,362,398,395	1,0,1,5	465,362,379,433	2,0,0,2	78	39
167	240,226,255,255	1,0,1,5	292,213,224,264	2,0,0,2	78	39
168	16,9,13,12	0,0,0,2	20,16,10,18	0,0,0,0	43	39
169	238,223,251,249	0,0,0,1	291,207,222,262	0,0,0,3	78	39
171	653,639,705,718	4,4,4,3	819,643,753,827	1,10,9,1	57	39
172	301,407,339,378	8,8,9,5	287,281,248,299	12,2,10,7	48	39
174	22,40,18,30	52,50,61,64	27,30,28,30	51,39,65,60	78	39
175	21,37,32,30	15,31,18,30	32,37,34,45	15,18,12,21	78	39
176	31,44,45,48	24,20,21,21	43,40,43,46	11,18,26,26	78	39
177	55,58,75,68	15,31,18,30	59,50,77,78	15,18,12,21	75	39
178	69,71,90,94	24,20,21,21	75,57,92,86	11,18,26,26	78	39
179	29,44,33,56	24,20,21,21	31,25,27,29	11,18,26,26	78	39
180	5,5,2,5	137,156,148,139	6,1,6,2	162,167,157,161	78	39
181	27,18,24,28	11,6,2,7	21,15,11,8	3,5,9,4	78	39
183	13,35,37,28	209,229,193,196	34,34,37,31	230,226,238,277	78	39
190	23,12,43,36	59,48,46,54	44,15,23,33	53,71,64,78	78	39
191	9,18,9,11	142,119,112,148	10,24,11,15	195,159,186,173	78	39
192	17,21,16,9	5,4,6,17	27,16,23,19	11,10,7,11	42	39
193	9,13,17,9	70,60,61,63	7,12,7,13	76,61,72,69	78	39
194	4,1,3,3	129,96,91,73	3,6,6,3	94,96,92,99	59	39
195	36,43,51,51	15,23,19,16	44,34,31,43	7,19,8,16	42	39
196	11,9,11,10	5,4,4,4	11,11,6,9	2,7,0,2	42	39
197	30,36,27,19	74,51,54,60	33,29,28,26	80,66,58,81	47	39
198	5,5,6,3	78,99,94,93	5,11,3,2	100,107,83,94	67	39
199	2,1,1,1	1,0,0,1	0,0,1,3	1,0,2,0	42	39
200	29,14,21,28	31,18,31,31	22,22,26,27	10,17,27,27	42	39
201	103,89,102,99	90,76,84,86	117,91,118,114	111,92,106,119	42	39
202	146,110,144,146	28,23,20,32	167,160,204,167	34,36,45,33	45	39
206	0,1,0,1	0,0,0,0	1,1,0,1	0,0,1,0	50	39
208	0,0,1,1	3,2,1,4	0,3,0,2	6,6,0,3	78	39
209	0,1,0,0	0,0,0,0	0,0,0,0	0,2,2,2	78	39
217	1,19,6,2	79,101,79,93	1,5,0,1	75,111,91,90	78	39
218	4,6,7,10	0,0,0,0	5,4,8,6	0,1,0,0	42	39
219	3,3,3,4	0,0,0,0	3,2,4,3	0,0,0,2	42	39
221	187,171,149,187	150,163,115,185	169,199,176,213	175,124,179,167	78	39
223	22,18,28,17	81,146,127,78	14,13,26,14	74,72,82,94	75	39
224	14,17,21,14	46,70,52,41	11,10,14,12	56,46,35,49	75	39
225	22,30,25,19	73,162,108,92	12,11,18,17	69,73,70,91	75	39
226	7,7,6,19	268,216,205,227	5,14,10,8	177,137,153,198	78	39
227	38,45,31,26	319,365,324,324	20,34,38,31	349,353,298,330	78	39
228	155,190,161,156	196,176,184,199	194,186,184,155	173,209,170,212	78	39
229	79,99,66,64	27,41,35,29	57,69,42,80	22,30,25,19	42	39
230	132,105,131,100	5,1,3,3	79,70,57,56	4,1,1,4	45	39
231	445,436,346,387	6,4,3,4	356,367,384,389	5,6,1,10	42	39
232	1,0,2,1	39,59,33,34	2,1,2,2	50,24,31,39	78	39
